idx,x,y,z
0,69.644485,-6.8320727,-0.3582912
1,69.69864,-6.8310947,-0.3582912
2,69.752716,-6.828162,-0.3582912
3,69.80666,-6.8232794,-0.3582912
4,69.86039,-6.8164525,-0.3582912
5,69.91384,-6.8076897,-0.3582912
6,69.96694,-6.7970033,-0.3582912
7,70.019615,-6.784407,-0.3582912
8,70.0718,-6.769917,-0.3582912
9,70.123436,-6.7535524,-0.3582912
10,70.17444,-6.7353344,-0.3582912
11,70.224754,-6.7152867,-0.3582912
12,70.274315,-6.6934357,-0.3582912
13,70.32305,-6.66981,-0.3582912
14,70.37091,-6.6444397,-0.3582912
15,70.417816,-6.617358,-0.3582912
16,70.463715,-6.588601,-0.3582912
17,70.50854,-6.558206,-0.3582912
18,70.552246,-6.526212,-0.3582912
19,70.594765,-6.4926615,-0.3582912
20,70.63605,-6.4575973,-0.3582912
21,70.67603,-6.421066,-0.3582912
22,70.714676,-6.3831143,-0.3582912
23,70.75192,-6.343793,-0.3582912
24,70.78773,-6.303152,-0.3582912
25,70.82204,-6.2612453,-0.3582912
26,70.85482,-6.218127,-0.3582912
27,70.88602,-6.173853,-0.3582912
28,70.915596,-6.128482,-0.3582912
29,70.94352,-6.0820727,-0.3582912
