idx,x,y,z
0,37.745003,-1.5498533,-0.15914567
1,37.799156,-1.5488756,-0.15914567
2,37.85324,-1.5459433,-0.15914567
3,37.90718,-1.5410603,-0.15914567
4,37.960915,-1.5342331,-0.15914567
5,38.014362,-1.5254706,-0.15914567
6,38.06746,-1.5147842,-0.15914567
7,38.120136,-1.5021877,-0.15914567
8,38.172325,-1.4876978,-0.15914567
9,38.223957,-1.4713331,-0.15914567
10,38.274963,-1.4531151,-0.15914567
11,38.32528,-1.4330676,-0.15914567
12,38.374836,-1.4112165,-0.15914567
13,38.423576,-1.3875905,-0.15914567
14,38.471428,-1.3622204,-0.15914567
15,38.518333,-1.3351392,-0.15914567
16,38.56423,-1.3063822,-0.15914567
17,38.609062,-1.2759869,-0.15914567
18,38.652767,-1.2439929,-0.15914567
19,38.695286,-1.2104422,-0.15914567
20,38.736565,-1.1753781,-0.15914567
21,38.776554,-1.1388466,-0.15914567
22,38.815197,-1.1008953,-0.15914567
23,38.852444,-1.0615736,-0.15914567
24,38.88825,-1.0209328,-0.15914567
25,38.92256,-0.9790259,-0.15914567
26,38.955338,-0.93590754,-0.15914567
27,38.986538,-0.891634,-0.15914567
28,39.016117,-0.8462629,-0.15914567
29,39.04404,-0.7998534,-0.15914567
