idx,x,y,z
0,70.835,6.364925,-0.44917154
1,70.88915,6.365903,-0.44917154
2,70.94323,6.368835,-0.44917154
3,70.99718,6.373718,-0.44917154
4,71.0509,6.380545,-0.44917154
5,71.104355,6.3893075,-0.44917154
6,71.15745,6.399994,-0.44917154
7,71.21013,6.4125905,-0.44917154
8,71.262314,6.4270806,-0.44917154
9,71.31395,6.443445,-0.44917154
10,71.36495,6.4616632,-0.44917154
11,71.41527,6.481711,-0.44917154
12,71.46483,6.503562,-0.44917154
13,71.513565,6.527188,-0.44917154
14,71.56142,6.552558,-0.44917154
15,71.60833,6.579639,-0.44917154
16,71.65422,6.608396,-0.44917154
17,71.69905,6.6387916,-0.44917154
18,71.74276,6.6707854,-0.44917154
19,71.78528,6.704336,-0.44917154
20,71.82655,6.7394004,-0.44917154
21,71.86655,6.775932,-0.44917154
22,71.90519,6.813883,-0.44917154
23,71.94244,6.8532047,-0.44917154
24,71.97824,6.8938456,-0.44917154
25,72.01255,6.9357524,-0.44917154
26,72.04533,6.978871,-0.44917154
27,72.07653,7.0231442,-0.44917154
28,72.10611,7.0685153,-0.44917154
29,72.13403,7.114925,-0.44917154
